Name,CAS,SMILES,IUPAC_Name
Chlorprazophos,36145-08-1,ClC=1C(=NN2C1N=CC=C2C)OP(=S)(OCC)OCC,"(3-chloro-7-methylpyrazolo[1,5-a]pyrimidin-2-yl)oxy-diethoxy-sulfanylidene-lambda5-phosphane"
Alpha-hexachlorocyclohexane,27154-44-5,ClC1C(C(C(C(C1Cl)Cl)Cl)Cl)Cl,"1,2,3,4,5,6-hexachlorocyclohexane"
Azoxybenzene,495-48-7,[O-][N+](=NC1=CC=CC=C1)C1=CC=CC=C1,oxido-phenyl-phenyliminoazanium
Nitrilacarb,29672-19-3,CNC(O/N=C/C(CCC#N)(C)C)=O,"[(E)-(4-cyano-2,2-dimethylbutylidene)amino] N-methylcarbamate"
Novaluron,116714-46-6,ClC=1C=C(C=CC1OC(C(OC(F)(F)F)F)(F)F)NC(=O)NC(C1=C(C=CC=C1F)F)=O,"N-[[3-chloro-4-[1,1,2-trifluoro-2-(trifluoromethoxy)ethoxy]phenyl]carbamoyl]-2,6-difluorobenzamide"
Hexythiazox,78587-05-0,ClC1=CC=C(C=C1)[C@H]1[C@@H](N(C(S1)=O)C(=O)NC1CCCCC1)C,"(4S,5S)-5-(4-chlorophenyl)-N-cyclohexyl-4-methyl-2-oxo-1,3-thiazolidine-3-carboxamide"
Calvinphos,6465-92-5,[Ca++].CO[P]([O-])(=O)OC=C(Cl)Cl.CO[P]([O-])(=O)OC=C(Cl)Cl.CO[P](=O)(OC)OC=C(Cl)Cl,"calcium;2,2-dichloroethenyl dimethyl phosphate;bis(2,2-dichloroethenyl methyl phosphate)"
Bromophos-ethyl,4824-78-6,BrC1=CC(=C(OP(=S)(OCC)OCC)C=C1Cl)Cl,"(4-bromo-2,5-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane"
Mecarbam,2595-54-2,C(C)OP(=S)(OCC)SCC(=O)N(C(OCC)=O)C,ethyl N-(2-diethoxyphosphinothioylsulfanylacetyl)-N-methylcarbamate
Cyenopyrafen,560121-52-0,CC(C(=O)O\C(=C(\C#N)/C1=CC=C(C=C1)C(C)(C)C)\C=1N(N=C(C1C)C)C)(C)C,"[(E)-2-(4-tert-butylphenyl)-2-cyano-1-(2,4,5-trimethylpyrazol-3-yl)ethenyl] 2,2-dimethylpropanoate"
Alpha-endosulfan,959-98-8,Cl[C@]12[C@@H]3COS(OC[C@@H]3[C@](C(=C1Cl)Cl)(C2(Cl)Cl)Cl)=O,"(1R,2S,8R,9S)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide"
Propaphos,7292-16-2,P(=O)(OC1=CC=C(C=C1)SC)(OCCC)OCCC,(4-methylsulfanylphenyl) dipropyl phosphate
Citronellol,106-22-9,CC(CCO)CCC=C(C)C,"3,7-dimethyloct-6-en-1-ol"
Mercurous chloride,7546-30-7,Cl[Hg],chloromercury
Crotamiton,483-63-6,C(C)N(C(C=CC)=O)C1=C(C=CC=C1)C,N-ethyl-N-(2-methylphenyl)but-2-enamide
Cuelure,3572-06-3,C(C)(=O)OC1=CC=C(C=C1)CCC(C)=O,[4-(3-oxobutyl)phenyl] acetate
Isothioate,36614-38-7,COP(=S)(SCCSC(C)C)OC,dimethoxy-(2-propan-2-ylsulfanylethylsulfanyl)-sulfanylidene-lambda5-phosphane
Noviflumuron,121451-02-3,ClC=1C(=C(C=C(C1OC(C(C(F)(F)F)F)(F)F)Cl)NC(=O)NC(C1=C(C=CC=C1F)F)=O)F,"N-[[3,5-dichloro-2-fluoro-4-(1,1,2,3,3,3-hexafluoropropoxy)phenyl]carbamoyl]-2,6-difluorobenzamide"
Cycloprothrin,63935-38-6,ClC1(C(C1)(C(=O)OC(C1=CC(=CC=C1)OC1=CC=CC=C1)C#N)C1=CC=C(C=C1)OCC)Cl,"[cyano-(3-phenoxyphenyl)methyl] 2,2-dichloro-1-(4-ethoxyphenyl)cyclopropane-1-carboxylate"
Momfluorothrin,609346-29-4,C(#N)C(=CC1C(C1C(=O)OCC1=C(C(=C(C(=C1F)F)COC)F)F)(C)C)C,"[2,3,5,6-tetrafluoro-4-(methoxymethyl)phenyl]methyl 3-(2-cyanoprop-1-enyl)-2,2-dimethylcyclopropane-1-carboxylate"
Tetraniliprole,1229654-66-3,ClC=1C(=NC=CC1)N1N=C(C=C1C(=O)NC1=C(C=C(C=C1C(NC)=O)C#N)C)CN1N=C(N=N1)C(F)(F)F,1-(3-chloro-2-pyridinyl)-N-[4-cyano-2-methyl-6-(methylcarbamoyl)phenyl]-3-[[5-(trifluoromethyl)tetrazol-2-yl]methyl]pyrazole-5-carboxamide
Permethrin,52645-53-1,ClC(=CC1C(C1C(=O)OCC1=CC(=CC=C1)OC1=CC=CC=C1)(C)C)Cl,"(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Dinosulfon,5386-77-6,CSC(=O)OC1=C(C=C(C=C1C(C)CCCCCC)[N+](=O)[O-])[N+](=O)[O-],"(2,4-dinitro-6-octan-2-ylphenyl) methylsulfanylformate"
Metam-potassium,137-41-7,CNC(=S)[S-].[K+],potassium N-methylcarbamodithioate
Phoxim,14816-18-3,C(C)OP(=S)(ON=C(C1=CC=CC=C1)C#N)OCC,N-diethoxyphosphinothioyloxybenzenecarboximidoyl cyanide
Dibromochloropropane,96-12-8,BrCC(CCl)Br,"1,2-dibromo-3-chloropropane"
Triarathene,65691-00-1,ClC1=CC=C(C=C1)C1=CC(=C(S1)C1=CC=CC=C1)C1=CC=CC=C1,"5-(4-chlorophenyl)-2,3-diphenylthiophene"
Prothidathion,20276-83-9,C(C)OP(=S)(OCC)SCN1C(SC(=N1)OC(C)C)=O,"3-(diethoxyphosphinothioylsulfanylmethyl)-5-propan-2-yloxy-1,3,4-thiadiazol-2-one"
Fosmethilan,83733-82-8,ClC1=C(C=CC=C1)N(C(CCC)=O)CSP(=S)(OC)OC,N-(2-chlorophenyl)-N-(dimethoxyphosphinothioylsulfanylmethyl)butanamide
Flupyrimin,1689566-03-7,ClC1=CC=C(C=N1)CN1C(C=CC=C1)=NC(C(F)(F)F)=O,"N-[1-[(6-chloro-3-pyridinyl)methyl]-2-pyridinylidene]-2,2,2-trifluoroacetamide"
D-limonene,5989-27-5,CC1=CC[C@@H](CC1)C(=C)C,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene
Empenthrin,54406-48-3,CC1(C(C1C=C(C)C)C(=O)OC(C#C)C(=CCC)C)C,"4-methylhept-4-en-1-yn-3-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate"
Silafluofen,105024-66-6,C(C)OC1=CC=C(C=C1)[Si](C)(C)CCCC1=CC(=C(C=C1)F)OC1=CC=CC=C1,(4-ethoxyphenyl)-[3-(4-fluoro-3-phenoxyphenyl)propyl]-dimethylsilane
Azamethiphos,35575-96-3,ClC=1C=C2C(=NC1)N(C(O2)=O)CSP(=O)(OC)OC,"6-chloro-3-(dimethoxyphosphorylsulfanylmethyl)-[1,3]oxazolo[4,5-b]pyridin-2-one"
Piperflanilide,2615135-05-0,BrC1=C(C(=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)OC(F)F)NC(=O)C=1C(=C(C=CC1)N(C(=O)C1=CC2=C(OC(O2)(F)F)C=C1)C)F,"N-[3-[[2-bromo-6-(difluoromethoxy)-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)phenyl]carbamoyl]-2-fluorophenyl]-2,2-difluoro-N-methyl-1,3-benzodioxole-5-carboxamide"
Trans-citral,5392-40-5,C\C(=C/C=O)\CCC=C(C)C,"(2E)-3,7-dimethylocta-2,6-dienal"
Demeton-S-methyl sulfone,17040-19-6,COP(=O)(OC)SCCS(=O)(=O)CC,1-dimethoxyphosphorylsulfanyl-2-ethylsulfonylethane
Pyramat,2532-49-2,CN(C(OC1=NC(=NC(=C1)C)CCC)=O)C,"(6-methyl-2-propylpyrimidin-4-yl) N,N-dimethylcarbamate"
Dazomet,533-74-4,CN1C(SCN(C1)C)=S,"3,5-dimethyl-1,3,5-thiadiazinane-2-thione"
8-dodecenol,42513-42-8,C(CCCCCC\C=C\CCC)O,(E)-dodec-8-en-1-ol
Pyrifluquinazon,337458-27-2,C(C)(=O)N1C(N(CC2=CC(=CC=C12)C(C(F)(F)F)(C(F)(F)F)F)NCC=1C=NC=CC1)=O,"1-acetyl-6-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-3-(pyridin-3-ylmethylamino)-4H-quinazolin-2-one"
Fluxametamide,928783-29-3,ClC=1C=C(C=C(C1)Cl)C1(CC(=NO1)C1=CC(=C(C(=O)NC=NOC)C=C1)C)C(F)(F)F,"4-[5-(3,5-dichlorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]-N-(methoxyiminomethyl)-2-methylbenzamide"
Trioxyflanilide,2922115-20-4,BrC1=C(C(=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)C(F)(F)F)NC(C1=C(C(=CC=C1)N(CCOC)C(C1=CC=C(C=C1)F)=O)F)=O,"N-[2-bromo-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-(trifluoromethyl)phenyl]-2-fluoro-3-[(4-fluorobenzoyl)-(2-methoxyethyl)amino]benzamide"
Etrimfos,38260-54-7,C(C)OC1=CC(=NC(=N1)CC)OP(=S)(OC)OC,(6-ethoxy-2-ethylpyrimidin-4-yl)oxy-dimethoxy-sulfanylidene-lambda5-phosphane
Thymol,89-83-8,CC=1C=CC(=C(C1)O)C(C)C,5-methyl-2-propan-2-ylphenol
1-dodecanol,112-53-8,C(CCCCCCCCCCC)O,dodecan-1-ol
Profenofos,41198-08-7,BrC1=CC(=C(C=C1)OP(=O)(SCCC)OCC)Cl,4-bromo-2-chloro-1-[ethoxy(propylsulfanyl)phosphoryl]oxybenzene
Tirpate,26419-73-8,CNC(O/N=C/C1(SCC(S1)C)C)=O,"[(E)-(2,4-dimethyl-1,3-dithiolan-2-yl)methylideneamino] N-methylcarbamate"
Alanycarb,83130-01-2,C(C1=CC=CC=C1)N(CCC(=O)OCC)SN(C(=O)O\N=C(\C)/SC)C,ethyl 3-[benzyl-[methyl-[(Z)-1-methylsulfanylethylideneamino]oxycarbonylamino]sulfanylamino]propanoate
N-bromoacetamide,79-15-2,BrNC(C)=O,N-bromoacetamide
Afidopyropen,915972-17-7,C1(CC1)C(=O)OC[C@@]1([C@H](CC[C@@]2([C@H]3[C@H](C=4C(OC(=CC4O[C@@]3([C@H](C[C@@H]12)O)C)C=1C=NC=CC1)=O)O)C)OC(=O)C1CC1)C,"[(1S,2S,5S,6R,7R,9S,10S,18R)-5-(cyclopropanecarbonyloxy)-9,18-dihydroxy-2,6,10-trimethyl-16-oxo-14-pyridin-3-yl-11,15-dioxatetracyclo[8.8.0.02,7.012,17]octadeca-12(17),13-dien-6-yl]methyl cyclopropanecarboxylate"
Acequinocyl,57960-19-7,C(C)(=O)OC=1C(C2=CC=CC=C2C(C1CCCCCCCCCCCC)=O)=O,"(3-dodecyl-1,4-dioxonaphthalen-2-yl) acetate"
Disodium octaborate tetrahydrate,12280-03-4,O.O.O.O.[Na+].[Na+].OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB(O)O.OB([O-])[O-],"disodium;(9,11-dioxido-5-oxoboranyloxy-2,4,6,8,10,12,13-heptaoxa-1,3,5,7,9,11-hexaborabicyclo[5.5.1]tridecan-3-yl)oxy-oxoborane;tetrahydrate"
Acibenzolar,126448-41-7,S1N=NC2=C1C(=CC=C2)C(S)=O,"1,2,3-benzothiadiazole-7-carbothioic S-acid"
Chloroprallethrin,250346-55-5,Not found,"cis-[(1S)-2-methyl-4-oxo-3-prop-2-ynylcyclopent-2-en-1-yl] (1R,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Carbon dioxide,124-38-9,C(=O)=O,carbon dioxide
DNOC potassium,5787-96-2,CC1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])[O-].[K+],"potassium 2-methyl-4,6-dinitrophenolate"
Chlorbicyclen,2550-75-6,Cl[C@@]12C(=C([C@@](C(C1CCl)CCl)(C2(Cl)Cl)Cl)Cl)Cl,"(1R,4S)-1,2,3,4,7,7-hexachloro-5,6-bis(chloromethyl)bicyclo[2.2.1]hept-2-ene"
Buprofezin,69327-76-0,C(C)(C)(C)N=C1SCN(C(N1C(C)C)=O)C1=CC=CC=C1,"2-tert-butylimino-5-phenyl-3-propan-2-yl-1,3,5-thiadiazinan-4-one"
Fospirate,5598-52-7,P(=O)(OC)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl,"dimethyl (3,5,6-trichloro-2-pyridinyl) phosphate"
Flubenzimine,37893-02-0,C1(=CC=CC=C1)N=C1SC(C(N1C1=CC=CC=C1)=NC(F)(F)F)=NC(F)(F)F,"2-N,3-diphenyl-4-N,5-N-bis(trifluoromethyl)-1,3-thiazolidine-2,4,5-triimine"
Chlorfenethol,80-06-8,ClC1=CC=C(C=C1)C(C)(O)C1=CC=C(C=C1)Cl,"1,1-bis(4-chlorophenyl)ethanol"
Carbon tetrachloride,56-23-5,ClC(Cl)(Cl)Cl,tetrachloromethane
Bioallethrin,260359-57-7,CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C,"cis-(2-methyl-4-oxo-3-prop-2-enylcyclopent-2-en-1-yl) (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate"
Diflovidazin,162320-67-4,ClC1=C(C=CC=C1)C=1N=NC(=NN1)C1=C(C=CC=C1F)F,"3-(2-chlorophenyl)-6-(2,6-difluorophenyl)-1,2,4,5-tetrazine"
Isobenzan,297-78-9,ClC12C3C(OC(C3C(C(=C1Cl)Cl)(C2(Cl)Cl)Cl)Cl)Cl,"1,3,5,7,8,9,10,10-octachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene"
Octachlorodipropyl ether,127-90-2,ClC(C(COCC(C(Cl)(Cl)Cl)Cl)Cl)(Cl)Cl,"1,1,1,2-tetrachloro-3-(2,3,3,3-tetrachloropropoxy)propane"
Plifenate,21757-82-4,C(C)(=O)OC(C(Cl)(Cl)Cl)C1=CC(=C(C=C1)Cl)Cl,"[2,2,2-trichloro-1-(3,4-dichlorophenyl)ethyl] acetate"
Cyclaniliprole,1031756-98-5,BrC1=NN(C(=C1)C(=O)NC1=C(C=C(C=C1C(NC(C)C1CC1)=O)Cl)Br)C1=NC=CC=C1Cl,3-bromo-N-[2-bromo-4-chloro-6-(1-cyclopropylethylcarbamoyl)phenyl]-1-(3-chloro-2-pyridinyl)pyrazole-5-carboxamide
Sodium lauryl sulphate,151-21-3,S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+],sodium dodecyl sulfate
Thiacloprid,111988-49-9,ClC1=CC=C(C=N1)CN1C(SCC1)=NC#N,"[3-[(6-chloro-3-pyridinyl)methyl]-1,3-thiazolidin-2-ylidene]cyanamide"
Butonate,126-22-7,C(CCC)(=O)OC(C(Cl)(Cl)Cl)P(=O)(OC)OC,"(2,2,2-trichloro-1-dimethoxyphosphorylethyl) butanoate"
Caffeine,58-08-2,CN1C(N(C=2N=CN(C2C1=O)C)C)=O,"1,3,7-trimethylpurine-2,6-dione"
Hydroprene,41096-46-2,C\C(=C/C(=O)OCC)\C=C\CC(CCCC(C)C)C,"ethyl (2E,4E)-3,7,11-trimethyldodeca-2,4-dienoate"
Propylene oxide,75-56-9,CC1OC1,2-methyloxirane
Diflubenzuron,35367-38-5,ClC1=CC=C(C=C1)NC(=O)NC(C1=C(C=CC=C1F)F)=O,"N-[(4-chlorophenyl)carbamoyl]-2,6-difluorobenzamide"
Kinoprene,42588-37-4,C\C(=C/C(=O)OCC#C)\C=C\CC(CCCC(C)C)C,"prop-2-ynyl (2E,4E)-3,7,11-trimethyldodeca-2,4-dienoate"
Flucythrinate,70124-77-5,FC(OC1=CC=C(C=C1)C(C(=O)OC(C1=CC(=CC=C1)OC1=CC=CC=C1)C#N)C(C)C)F,[cyano-(3-phenoxyphenyl)methyl] 2-[4-(difluoromethoxy)phenyl]-3-methylbutanoate
Nornicotine,494-97-3,N1[C@@H](CCC1)C=1C=NC=CC1,3-[(2S)-pyrrolidin-2-yl]pyridine
Dibutyl phthalate,84-74-2,C=1(C(=CC=CC1)C(=O)OCCCC)C(=O)OCCCC,"dibutyl benzene-1,2-dicarboxylate"
Dinopenton,5386-57-2,C(OC1=C(C=C(C=C1C(C)CCC)[N+](=O)[O-])[N+](=O)[O-])(OC(C)C)=O,"(2,4-dinitro-6-pentan-2-ylphenyl) propan-2-yl carbonate"
Cyhalothrin,68085-85-8,Cl\C(=C/C1C(C1C(=O)OC(C1=CC(=CC=C1)OC1=CC=CC=C1)C#N)(C)C)\C(F)(F)F,"[cyano-(3-phenoxyphenyl)methyl] 3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate"
Calcium chloride,10043-52-4,[Cl-].[Cl-].[Ca+2],calcium dichloride
Chlorthiophos,60238-56-4,ClC1=C(OP(=S)(OCC)OCC)C=C(C(=C1)SC)Cl,"(2,5-dichloro-4-methylsulfanylphenoxy)-diethoxy-sulfanylidene-lambda5-phosphane"
Methoxyfenozide,161050-58-4,C(C)(C)(C)N(NC(C1=C(C(=CC=C1)OC)C)=O)C(C1=CC(=CC(=C1)C)C)=O,"N'-tert-butyl-N'-(3,5-dimethylbenzoyl)-3-methoxy-2-methylbenzohydrazide"
Triflumezopyrim,1263133-33-0,O=C1C(=C([N+](=C2N1C=CC=C2)CC=2C=NC=NC2)[O-])C2=CC(=CC=C2)C(F)(F)F,"4-oxo-1-(pyrimidin-5-ylmethyl)-3-[3-(trifluoromethyl)phenyl]pyrido[1,2-a]pyrimidin-1-ium-2-olate"
Butopyronoxyl,532-34-3,CC1(OC(=CC(C1)=O)C(=O)OCCCC)C,"butyl 2,2-dimethyl-4-oxo-3H-pyran-6-carboxylate"
Cismethrin,35764-59-1,CC(C)=C[C@@H]1[C@H](C(=O)OCc2oc(Cc3ccccc3)cc2)C1(C)C,"trans-(5-benzylfuran-3-yl)methyl (1R,3S)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate"
Dazomet-sodium,53404-60-7,[Na+].CN1CN(C)C(=S)S[CH-]1,
Geraniol,106-24-1,C\C(=C/CO)\CCC=C(C)C,"(2E)-3,7-dimethylocta-2,6-dien-1-ol"
Oxamyl,23135-22-0,CN(C(C(=NOC(NC)=O)SC)=O)C,methyl 2-(dimethylamino)-N-(methylcarbamoyloxy)-2-oxoethanimidothioate
Fenbutatin oxide,13356-08-6,CC(C[Sn](O[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)CC(C)(C1=CC=CC=C1)C)(CC(C)(C)C1=CC=CC=C1)CC(C)(C)C1=CC=CC=C1)(C)C1=CC=CC=C1,tris(2-methyl-2-phenylpropyl)-tris(2-methyl-2-phenylpropyl)stannyloxystannane
Silica,7631-86-9,O=[Si]=O,dioxosilane
Indoxacarb,173584-44-6,ClC=1C=C2C[C@]3(C(=NN(CO3)C(N(C3=CC=C(C=C3)OC(F)(F)F)C(=O)OC)=O)C2=CC1)C(=O)OC,"methyl (4aS)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate"
Nerolidol,7212-44-4,CC(C=C)(CC\C=C(\CCC=C(C)C)/C)O,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol"
Kappa-tefluthrin,391634-71-2,Not found,"trans-(2,3,5,6-tetrafluoro-4-methylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate"
Imidacloprid,138261-41-3,ClC1=CC=C(C=N1)CN1\C(\NCC1)=N\[N+](=O)[O-],(NE)-N-[1-[(6-chloro-3-pyridinyl)methyl]imidazolidin-2-ylidene]nitramide
Metam-ammonium,39680-90-5,CNC(=S)[S-].[NH4+],azanium N-methylcarbamodithioate
Parathion-methyl,298-00-0,COP(=S)(OC1=CC=C(C=C1)[N+](=O)[O-])OC,dimethoxy-(4-nitrophenoxy)-sulfanylidene-lambda5-phosphane
Dimetan,122-15-6,CN(C(OC1=CC(CC(C1)(C)C)=O)=O)C,"(5,5-dimethyl-3-oxocyclohexen-1-yl) N,N-dimethylcarbamate"
Methyl jasmonate,1211-29-6,O=C1[C@@H]([C@H](CC1)CC(=O)OC)C\C=C/CC,"methyl 2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetate"
N-nitrosodimethylamine,62-75-9,CN(N=O)C,"N,N-dimethylnitrous amide"
Spirotetramat,203313-25-1,C(OC1=C(C(NC12CCC(CC2)OC)=O)C2=C(C=CC(=C2)C)C)(OCC)=O,"[3-(2,5-dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro[4.5]dec-3-en-4-yl] ethyl carbonate"
Teflubenzuron,83121-18-0,ClC=1C(=C(C=C(C1F)Cl)NC(=O)NC(C1=C(C=CC=C1F)F)=O)F,"N-[(3,5-dichloro-2,4-difluorophenyl)carbamoyl]-2,6-difluorobenzamide"
Terbufos,13071-79-9,C(C)(C)(C)SCSP(=S)(OCC)OCC,tert-butylsulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane
Isocycloseram,2061933-85-3,ClC=1C=C(C=C(C1F)Cl)C1(CC(=NO1)C1=CC(=C(C(=O)NC2C(N(OC2)CC)=O)C=C1)C)C(F)(F)F,"4-[5-(3,5-dichloro-4-fluorophenyl)-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]-N-(2-ethyl-3-oxo-1,2-oxazolidin-4-yl)-2-methylbenzamide"
Diphenylamine,122-39-4,C1(=CC=CC=C1)NC1=CC=CC=C1,N-phenylaniline
Emamectin benzoate,155569-91-8,CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.[O-]C(=O)c8ccccc8,"benzoic acid;(1'R,2R,3S,4'S,6S,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-4-methoxy-5-[(2S,4S,5S,6S)-4-methoxy-6-methyl-5-(methylamino)oxan-2-yl]oxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one"
Formparanate,17702-57-7,CNC(OC1=CC(=C(C=C1)N=CN(C)C)C)=O,[4-(dimethylaminomethylideneamino)-3-methylphenyl] N-methylcarbamate
D-phenothrin,26002-80-2,CC1(C(C1C=C(C)C)C(=O)OCC1=CC(=CC=C1)OC1=CC=CC=C1)C,"(3-phenoxyphenyl)methyl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate"
Isobornyl thiocyanoacetate,115-31-1,S(C#N)CC(=O)O[C@H]1[C@@]2(CC[C@H](C1)C2(C)C)C,"[(1R,2R,4R)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] 2-thiocyanatoacetate"
Fufenozide,467427-80-1,C(C)(C)(C)N(NC(=O)C1=C(C2=C(CC(O2)C)C=C1)C)C(C1=CC(=CC(=C1)C)C)=O,"N'-tert-butyl-N'-(3,5-dimethylbenzoyl)-2,7-dimethyl-2,3-dihydro-1-benzofuran-6-carbohydrazide"
Diclocymet,139920-32-4,C(#N)C(C(=O)N[C@H](C)C1=C(C=C(C=C1)Cl)Cl)C(C)(C)C,"2-cyano-N-[(1R)-1-(2,4-dichlorophenyl)ethyl]-3,3-dimethylbutanamide"
Thiocyclam,31895-21-3,CN(C1CSSSC1)C,"N,N-dimethyltrithian-5-amine"
Fluvalinate,69409-94-5,ClC1=C(NC(C(=O)OC(C2=CC(=CC=C2)OC2=CC=CC=C2)C#N)C(C)C)C=CC(=C1)C(F)(F)F,[cyano-(3-phenoxyphenyl)methyl] 2-[2-chloro-4-(trifluoromethyl)anilino]-3-methylbutanoate
Benoxafos,16759-59-4,ClC=1C=C(C2=C(N=C(O2)CSP(=S)(OCC)OCC)C1)Cl,"(5,7-dichloro-1,3-benzoxazol-2-yl)methylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane"
Triazophos,24017-47-8,C(C)OP(=S)(OC1=NN(C=N1)C1=CC=CC=C1)OCC,"diethoxy-[(1-phenyl-1,2,4-triazol-3-yl)oxy]-sulfanylidene-lambda5-phosphane"
Thiosultap-disodium,52207-48-4,[Na+].[Na+].CN(C)C(CS[S]([O-])(=O)=O)CS[S]([O-])(=O)=O,"disodium;2-(dimethylamino)-1,3-bis(sulfonatosulfanyl)propane"
Fenthion sulfoxide,3761-41-9,COP(=S)(OC1=CC(=C(C=C1)S(=O)C)C)OC,dimethoxy-(3-methyl-4-methylsulfinylphenoxy)-sulfanylidene-lambda5-phosphane
Icaridin,119515-38-7,OCCC1N(CCCC1)C(=O)OC(C)CC,butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate
Propetamphos,31218-83-4,C(C)NP(=S)(O/C(=C/C(=O)OC(C)C)/C)OC,propan-2-yl (E)-3-[ethylamino(methoxy)phosphinothioyl]oxybut-2-enoate
Flonicamid,158062-67-0,C(#N)CNC(=O)C=1C=NC=CC1C(F)(F)F,N-(cyanomethyl)-4-(trifluoromethyl)pyridine-3-carboxamide
DDT,50-29-3,ClC1=CC=C(C=C1)C(C(Cl)(Cl)Cl)C1=CC=C(C=C1)Cl,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene"
Calcium acetate,62-54-4,C(C)(=O)[O-].C(C)(=O)[O-].[Ca+2],calcium diacetate
Cyanofenphos,13067-93-1,C(C)OP(=S)(OC1=CC=C(C#N)C=C1)C1=CC=CC=C1,4-[ethoxy(phenyl)phosphinothioyl]oxybenzonitrile
Azinphos-ethyl,2642-71-9,C(C)OP(=S)(OCC)SCN1N=NC2=C(C1=O)C=CC=C2,"3-(diethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one"
DNOC ammonium,2980-64-5,CC1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])[O-].[NH4+],"azanium 2-methyl-4,6-dinitrophenolate"
Ammonium acetate,631-61-8,C(C)(=O)[O-].[NH4+],azanium acetate
EPBP,3792-59-4,ClC1=C(OP(=S)(C2=CC=CC=C2)OCC)C=CC(=C1)Cl,"(2,4-dichlorophenoxy)-ethoxy-phenyl-sulfanylidene-lambda5-phosphane"
Spirobudifen,1305319-70-3,C(OCCCC)(OC1=C(C(OC12CCCCC2)=O)C2=C(C=C(C=C2)Cl)Cl)=O,"butyl [3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl] carbonate"
Penfluron,35367-31-8,FC1=C(C(=O)NC(NC2=CC=C(C=C2)C(F)(F)F)=O)C(=CC=C1)F,"2,6-difluoro-N-[[4-(trifluoromethyl)phenyl]carbamoyl]benzamide"
