Name,CAS,SMILES,IUPAC_Name
EPN,2104-64-5,C(C)OP(=S)(C1=CC=CC=C1)OC1=CC=C(C=C1)[N+](=O)[O-],ethoxy-(4-nitrophenoxy)-phenyl-sulfanylidene-lambda5-phosphane
Endrin,72-20-8,Cl[C@]12[C@@H]3[C@@H]4[C@H]5O[C@H]5[C@H]([C@@H]3[C@](C(=C1Cl)Cl)(C2(Cl)Cl)Cl)C4,"(1R,2R,3R,6S,7S,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene"
Nicofluprole,1771741-86-6,ClC1=NC=C(C=C1C(=O)N(C)C1CC1)C=1C=NN(C1)C1=C(C=C(C=C1Cl)C(C(F)(F)F)(C(F)(F)F)F)Cl,"2-chloro-N-cyclopropyl-5-[1-[2,6-dichloro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)phenyl]pyrazol-4-yl]-N-methylpyridine-3-carboxamide"
Diofenolan,63837-33-2,C(C)C1OCC(O1)COC1=CC=C(C=C1)OC1=CC=CC=C1,"2-ethyl-4-[(4-phenoxyphenoxy)methyl]-1,3-dioxolane"
Dialifos,10311-84-9,ClCC(SP(=S)(OCC)OCC)N1C(C2=CC=CC=C2C1=O)=O,"2-(2-chloro-1-diethoxyphosphinothioylsulfanylethyl)isoindole-1,3-dione"
Triflumuron,64628-44-0,ClC1=C(C(=O)NC(NC2=CC=C(C=C2)OC(F)(F)F)=O)C=CC=C1,2-chloro-N-[[4-(trifluoromethoxy)phenyl]carbamoyl]benzamide
Lythidathion,2669-32-1,COP(=S)(OC)SCN1C(SC(=N1)OCC)=O,"3-(dimethoxyphosphinothioylsulfanylmethyl)-5-ethoxy-1,3,4-thiadiazol-2-one"
Isoprothiolane,50512-35-1,S1C(SCC1)=C(C(=O)OC(C)C)C(=O)OC(C)C,"dipropan-2-yl 2-(1,3-dithiolan-2-ylidene)propanedioate"
Demeton-S,126-75-0,C(C)OP(=O)(OCC)SCCSCC,1-diethoxyphosphorylsulfanyl-2-ethylsulfanylethane
Diallyl disulfide,2179-57-9,C(C=C)SSCC=C,3-(prop-2-enyldisulfanyl)prop-1-ene
Ethylene dibromide,106-93-4,BrCCBr,"1,2-dibromoethane"
Trimethacarb,2655-15-4,CNC(OC1=C(C(=CC(=C1)C)C)C)=O,"(2,3,5-trimethylphenyl) N-methylcarbamate"
Bifenazate,149877-41-8,COC1=C(NNC(OC(C)C)=O)C=C(C=C1)C1=CC=CC=C1,propan-2-yl N-(2-methoxy-5-phenylanilino)carbamate
Beta-dihydroheptachlor,14168-01-5,Cl[C@]12[C@@H]3CC(C[C@@H]3[C@](C(=C1Cl)Cl)(C2(Cl)Cl)Cl)Cl,"(1R,2R,6S,7S)-1,4,7,8,9,10,10-heptachlorotricyclo[5.2.1.02,6]dec-8-ene"
Dichlofenthion,97-17-6,ClC1=C(OP(=S)(OCC)OCC)C=CC(=C1)Cl,"(2,4-dichlorophenoxy)-diethoxy-sulfanylidene-lambda5-phosphane"
Monocrotophos,6923-22-4,P(=O)(OC)(OC)O\C(\C)=C\C(=O)NC,dimethyl [(E)-4-(methylamino)-4-oxobut-2-en-2-yl] phosphate
Umifoxolaner,2021230-37-3,ClC=1C=C(C=C(C1F)C(F)(F)F)[C@@]1(CC(=NO1)C1=CC=C(C2=CC=CC=C12)C(=O)NCC(NCC(F)(F)F)=O)C(F)(F)F,"4-[(5S)-5-[3-chloro-4-fluoro-5-(trifluoromethyl)phenyl]-5-(trifluoromethyl)-4H-1,2-oxazol-3-yl]-N-[2-oxo-2-(2,2,2-trifluoroethylamino)ethyl]naphthalene-1-carboxamide"
Amidoflumet,84466-05-7,ClC=1C=CC(=C(C(=O)OC)C1)NS(=O)(=O)C(F)(F)F,methyl 5-chloro-2-(trifluoromethylsulfonylamino)benzoate
Pentachlorophenol,87-86-5,ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,"2,3,4,5,6-pentachlorophenol"
Cyhexatin,13121-70-5,[OH-].C1(CCCCC1)[Sn+](C1CCCCC1)C1CCCCC1,tricyclohexylstannanylium hydroxide
Cycloprate,54460-46-7,C1(CC1)C(=O)OCCCCCCCCCCCCCCCC,hexadecyl cyclopropanecarboxylate
Sulfluramid,4151-50-2,C(C)NS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"N-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide"
Acynonapyr,1332838-17-1,C(CC)OC1=C(OC2C[C@@H]3CCC[C@H](C2)N3OC3=NC=C(C=C3)C(F)(F)F)C=CC(=C1)C(F)(F)F,"(1S,5R)-3-[2-propoxy-4-(trifluoromethyl)phenoxy]-9-[[5-(trifluoromethyl)-2-pyridinyl]oxy]-9-azabicyclo[3.3.1]nonane"
Coumithoate,572-48-5,C(C)OP(=S)(OC1=CC=C2C3=C(C(OC2=C1)=O)CCCC3)OCC,"3-diethoxyphosphinothioyloxy-7,8,9,10-tetrahydrobenzo[c]chromen-6-one"
Cyhalodiamide,1262605-53-7,ClC1=C(C(=CC=C1)C(=O)NC1=C(C=C(C=C1)C(C(F)(F)F)(C(F)(F)F)F)C)C(=O)NC(C)(C)C#N,"3-chloro-2-N-(2-cyanopropan-2-yl)-1-N-[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2-methylphenyl]benzene-1,2-dicarboxamide"
Lindane,27154-44-5,ClC1C(C(C(C(C1Cl)Cl)Cl)Cl)Cl,"1,2,3,4,5,6-hexachlorocyclohexane"
Bufencarb,8065-36-9,CCCC(C)c1cccc(OC(=O)NC)c1.CCC(CC)c2cccc(OC(=O)NC)c2,tris((3-pentan-2-ylphenyl) N-methylcarbamate);(3-pentan-3-ylphenyl) N-methylcarbamate
Carbaryl,63-25-2,CNC(OC1=CC=CC2=CC=CC=C12)=O,naphthalen-1-yl N-methylcarbamate
Fenobucarb,3766-81-2,CNC(OC1=C(C=CC=C1)C(C)CC)=O,(2-butan-2-ylphenyl) N-methylcarbamate
Phenkapton,2275-14-1,ClC1=C(C=C(C=C1)Cl)SCSP(=S)(OCC)OCC,"(2,5-dichlorophenyl)sulfanylmethylsulfanyl-diethoxy-sulfanylidene-lambda5-phosphane"
Epsilon-metofluthrin,401620-60-8,Not found,"cis-[2,3,5,6-tetrafluoro-4-(methoxymethyl)phenyl]methyl (1R,3R)-2,2-dimethyl-3-[(Z)-prop-1-enyl]cyclopropane-1-carboxylate"
Cartap,15263-53-3,C(N)(SCC(CSC(N)=O)N(C)C)=O,S-[3-carbamoylsulfanyl-2-(dimethylamino)propyl] carbamothioate
Mexacarbate,315-18-4,CNC(OC1=CC(=C(C(=C1)C)N(C)C)C)=O,"[4-(dimethylamino)-3,5-dimethylphenyl] N-methylcarbamate"
Halofenozide,112226-61-6,C(C1=CC=CC=C1)(=O)N(NC(C1=CC=C(C=C1)Cl)=O)C(C)(C)C,N'-benzoyl-N'-tert-butyl-4-chlorobenzohydrazide
Thiamethoxam,153719-23-4,ClC=1SC(=CN1)CN\1COCN(/C1=N\[N+](=O)[O-])C,"(NE)-N-[3-[(2-chloro-1,3-thiazol-5-yl)methyl]-5-methyl-1,3,5-oxadiazinan-4-ylidene]nitramide"
Dinotefuran,165252-70-0,CN=C(N[N+](=O)[O-])NCC1COCC1,2-methyl-1-nitro-3-(oxolan-3-ylmethyl)guanidine
Flucofuron,370-50-3,ClC1=C(C=C(C=C1)NC(=O)NC1=CC(=C(C=C1)Cl)C(F)(F)F)C(F)(F)F,"1,3-bis[4-chloro-3-(trifluoromethyl)phenyl]urea"
Camphene,79-92-5,CC1(C2CCC(C1=C)C2)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane"
Chlorfenson,80-33-1,ClC1=CC=C(C=C1)S(=O)(=O)OC1=CC=C(C=C1)Cl,(4-chlorophenyl) 4-chlorobenzenesulfonate
Xylylcarb,2425-10-7,CNC(OC1=CC(=C(C=C1)C)C)=O,"(3,4-dimethylphenyl) N-methylcarbamate"
Flucycloxuron,113036-88-7,ClC1=CC=C(C=C1)C(C1CC1)=NOCC1=CC=C(C=C1)NC(=O)NC(C1=C(C=CC=C1F)F)=O,"N-[[4-[[[(4-chlorophenyl)-cyclopropylmethylidene]amino]oxymethyl]phenyl]carbamoyl]-2,6-difluorobenzamide"
Fenoxycarb,72490-01-8,O(C1=CC=CC=C1)C1=CC=C(OCCNC(OCC)=O)C=C1,ethyl N-[2-(4-phenoxyphenoxy)ethyl]carbamate
Metepa,57-39-6,CC1N(C1)P(=O)(N1C(C1)C)N1C(C1)C,1-bis(2-methylaziridin-1-yl)phosphoryl-2-methylaziridine
Heptafluthrin,1130296-65-9,CC1(C(C1\C=C/C(F)(F)F)C(=O)OCC1=C(C(=C(C(=C1F)F)COC)F)F)C,"[2,3,5,6-tetrafluoro-4-(methoxymethyl)phenyl]methyl 2,2-dimethyl-3-[(Z)-3,3,3-trifluoroprop-1-enyl]cyclopropane-1-carboxylate"
