Name,CAS,SMILES,IUPAC_Name,ChEMBL_ID,MolFormula,MW
ATENOLOL,,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,,CHEMBL24,C14H22N2O3,266.34
ASPIRIN,,CC(=O)Oc1ccccc1C(=O)O,,CHEMBL25,C9H8O4,180.16
TRIFLUOPERAZINE,,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,CHEMBL422,C21H24F3N3S,407.51
SULPIRIDE,,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,,CHEMBL26,C15H23N3O4S,341.43
BETAXOLOL,,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,,CHEMBL423,C18H29NO3,307.43
SALICYLIC ACID,,O=C(O)c1ccccc1O,,CHEMBL424,C7H6O3,138.12
OLSALAZINE,,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,,CHEMBL425,C14H10N2O6,302.24
PROPRANOLOL,,CC(C)NCC(O)COc1cccc2ccccc12,,CHEMBL27,C16H21NO2,259.35
PRACTOLOL,,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,,CHEMBL6995,C14H22N2O3,266.34
MECHLORETHAMINE,,CN(CCCl)CCCl,,CHEMBL427,C5H11Cl2N,156.06
PENICILLIN G,,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,,CHEMBL29,C16H18N2O4S,334.40
TROVAFLOXACIN,,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,,CHEMBL428,C20H15F3N4O3,416.36
CIMETIDINE,,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,,CHEMBL30,C10H16N6S,252.35
GATIFLOXACIN,,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,CHEMBL31,C19H22FN3O4,375.40
LABETALOL,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,,CHEMBL429,C19H24N2O3,328.41
MOXIFLOXACIN,,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,CHEMBL32,C21H24FN3O4,401.44
