Name,CAS,SMILES,IUPAC_Name
Chlortetracycline,57-62-5,ClC1=C2[C@@]([C@H]3C[C@H]4[C@@H](C(C(=C([C@]4(C(C3=C(C2=C(C=C1)O)O)=O)O)O)C(=O)N)=O)N(C)C)(C)O,"(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide"
Fenapanil,61019-78-1,N1(C=NC=C1)CC(C#N)(CCCC)C1=CC=CC=C1,2-(imidazol-1-ylmethyl)-2-phenylhexanenitrile
N-nitrosodimethylamine,62-75-9,CN(N=O)C,"N,N-dimethylnitrous amide"
Propiconazole,60207-90-1,ClC1=C(C=CC(=C1)Cl)C1(OCC(O1)CCC)CN1N=CN=C1,"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole"
Tebuconazole,107534-96-3,ClC1=CC=C(C=C1)CCC(C(C)(C)C)(O)CN1N=CN=C1,"1-(4-chlorophenyl)-4,4-dimethyl-3-(1,2,4-triazol-1-ylmethyl)pentan-3-ol"
Thiabendazole,148-79-8,N1C(=NC2=C1C=CC=C2)C=2N=CSC2,"4-(1H-benzimidazol-2-yl)-1,3-thiazole"
Parinol,17781-31-6,ClC1=CC=C(C=C1)C(O)(C=1C=NC=CC1)C1=CC=C(C=C1)Cl,bis(4-chlorophenyl)-pyridin-3-ylmethanol
Fenpropimorph,67564-91-4,C(C)(C)(C)C1=CC=C(C=C1)CC(CN1C[C@@H](O[C@@H](C1)C)C)C,"(2S,6R)-4-[3-(4-tert-butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine"
Kasugamycin phosphate,101651-86-9,C[C@H]1O[C@H](OC2[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1N=C(N)C(O)=O.O[P](O)(O)=O,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2R,3S,5S,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid;phosphoric acid"
Pentachlorophenol,87-86-5,ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,"2,3,4,5,6-pentachlorophenol"
Oxine-copper,10380-28-6,N1=CC=CC2=CC=CC(=C12)[O-].N1=CC=CC2=CC=CC(=C12)[O-].[Cu+2],copper bis(quinolin-8-olate)
Bifenthrin,82657-04-3,Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3,"trans-(2-methyl-3-phenylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate"
Kasugamycin hydrochloride hydrate,200132-83-8,Not found,"2-amino-2-[(2R,3S,5S,6R)-5-amino-2-methyl-6-[(2S,3S,5S,6R)-2,3,4,5,6-pentahydroxycyclohexyl]oxyoxan-3-yl]iminoacetic acid;hydrate;hydrochloride"
Benthiazole,21564-17-0,S1C(=NC2=C1C=CC=C2)SCSC#N,"1,3-benzothiazol-2-ylsulfanylmethyl thiocyanate"
Boric acid,10043-35-3,B(O)(O)O,boric acid
Dimetachlone,24096-53-5,ClC=1C=C(C=C(C1)Cl)N1C(CCC1=O)=O,"1-(3,5-dichlorophenyl)pyrrolidine-2,5-dione"
Chlobenthiazone,63755-05-5,ClC1=CC=CC2=C1N(C(S2)=O)C,"4-chloro-3-methyl-1,3-benzothiazol-2-one"
Fenitrothion,122-14-5,COP(=S)(OC1=CC(=C(C=C1)[N+](=O)[O-])C)OC,dimethoxy-(3-methyl-4-nitrophenoxy)-sulfanylidene-lambda5-phosphane
Deltamethrin,52918-63-5,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Flufenoxuron,101463-69-8,ClC1=C(OC2=CC(=C(C=C2)NC(=O)NC(C2=C(C=CC=C2F)F)=O)F)C=CC(=C1)C(F)(F)F,"N-[[4-[2-chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl]carbamoyl]-2,6-difluorobenzamide"
Cyproconazole,94361-06-5,ClC1=CC=C(C=C1)C(CN1N=CN=C1)(C(C)C1CC1)O,"2-(4-chlorophenyl)-3-cyclopropyl-1-(1,2,4-triazol-1-yl)butan-2-ol"
Mepanipyrim,110235-47-7,CC1=NC(=NC(=C1)C#CC)NC1=CC=CC=C1,4-methyl-N-phenyl-6-prop-1-ynylpyrimidin-2-amine
Pyridinitril,1086-02-8,ClC1=NC(=C(C(=C1C#N)C1=CC=CC=C1)C#N)Cl,"2,6-dichloro-4-phenylpyridine-3,5-dicarbonitrile"
Dinocton,104078-12-8,C(OC)(OC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])CCCCCC(C)C)=O,"methyl [2-(6-methylheptyl)-4,6-dinitrophenyl] carbonate"
Esfenvalerate,66230-04-4,ClC1=CC=C(C=C1)[C@@H](C(=O)O[C@@H](C1=CC(=CC=C1)OC1=CC=CC=C1)C#N)C(C)C,[(S)-cyano-(3-phenoxyphenyl)methyl] (2S)-2-(4-chlorophenyl)-3-methylbutanoate
Hexachlorobenzene,118-74-1,ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,"1,2,3,4,5,6-hexachlorobenzene"
